,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum
MB12_S31_46644,-,-,-,-,-,-,1,0.33,0.33,-,-,-,-,-,-,-,-,-,1,0.28,0.28,-,-,-,-,-,-,-,-,-,1,0.32,0.32,-,-,-,-,-,-,-,-,-,1,0.25,0.25,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.11,0.11,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.27,0.27,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.28,0.28,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.27,0.27,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.25,1.25,-,-,-,-,-,-,-,-,-,1,0.32,0.32,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S32_48654,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.77,0.77,-,-,-,-,-,-,-,-,-,1,0.31,0.31,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.32,1.32,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S33_48246,-,-,-,-,-,-,-,-,-,1,0.32,0.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10.46,10.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.34,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.33,0.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.32,0.32
MB12_S34_48462,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.46,0.46,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.31,0.31,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.05,0.05,-,-,-,-,-,-,-,-,-,1,0.2,0.2,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB12_S35_48624,1,0.12,0.12,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.33,0.33,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB12_S36_48461,-,-,-,1,0.14,0.14,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.05,0.05,-,-,-,-,-,-,-,-,-,1,8.13,8.13,-,-,-,-,-,-,-,-,-,1,0.42,0.42,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.52,0.52,-,-,-,-,-,-,-,-,-,1,0.09,0.09,-,-,-,-,-,-,-,-,-,1,0.28,0.28,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S37_49064,-,-,-,-,-,-,-,-,-,1,0.12,0.12,-,-,-,-,-,-,-,-,-,1,0.37,0.37,-,-,-,-,-,-,-,-,-,1,0.44,0.44,-,-,-,-,-,-,-,-,-,1,3.97,3.97,-,-,-,-,-,-,-,-,-,1,2.53,2.53,-,-,-,-,-,-,-,-,-,1,0.07,0.07,-,-,-,-,-,-,-,-,-,1,0.16,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-,-,-,-,-,-,-,1,0.27,0.27,-,-,-,-,-,-,-,-,-,1,5.53,5.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.52,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB12_S38_46667,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.1,0.1,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S39_49005,1,0.75,0.75,-,-,-,-,-,-,-,-,-,1,0.32,0.32,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0.27,0.27,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.11,0.11,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.06,0.06,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.29,0.29,-,-,-,-,-,-,-,-,-,1,0.34,0.34,-,-,-,-,-,-,-,-,-,1,0.24,0.24,-,-,-,-,-,-,-,-,-,1,1.1,1.1,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-
MB12_S40_47622,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB6_S01_46278,1,0,0,-,-,-,-,-,-,-,-,-,1,0.22,0.22,-,-,-,-,-,-,-,-,-,1,0.34,0.34,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.13,0.13,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.4,0.4,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.33,0.33,-,-,-,-,-,-,-,-,-,1,0.26,0.26,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.31,0.31,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB6_S02_46406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB6_S03_46339,-,-,-,-,-,-,-,-,-,1,0.65,0.65,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.15,0.15,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,5.7,5.7,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.5,1.5,-,-,-,-,-,-,-,-,-,1,0.07,0.07,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB6_S04_46331,-,-,-,1,0.14,0.14,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.46,0.46,-,-,-,-,-,-,-,-,-,1,0.29,0.29,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.08,0.08,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.81,0.81,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.51,0.51,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB6_S05_46327,-,-,-,-,-,-,1,0.11,0.11,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.34,0.34,-,-,-,-,-,-,-,-,-,1,1.83,1.83,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.44,1.44,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,2.76,2.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MB6_S06_46440,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.24,0.24,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.29,0.29,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.15,0.15,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB6_S07_45531,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.48,0.48,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-,-,-,-,-,-,-,1,0.5,0.5,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.14,0.14,-,-,-,-,-,-
MB6_S08_46669,-,-,-,-,-,-,1,1.67,1.67,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.17,1.17,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB6_S09_44635,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.56,1.56,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB6_S10_46441,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
